,store,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1,2013-01-02,5284.447944,4437.64626536786,6615.198120320346,5284.447944,5284.447944,225.28428653325957,225.28428653325957,225.28428653325957,-168.38468480147426,-168.38468480147426,-168.38468480147426,393.6689713347339,393.6689713347339,393.6689713347339,0.0,0.0,0.0,5509.732230533259
1,1,2013-01-03,5282.42609226383,4205.893135202549,6439.996854327828,5282.42609226383,5282.42609226383,47.561272974504085,47.561272974504085,47.561272974504085,-243.8607753602068,-243.8607753602068,-243.8607753602068,291.42204833471084,291.42204833471084,291.42204833471084,0.0,0.0,0.0,5329.987365238334
2,1,2013-01-04,5280.40424052766,4391.347974082047,6492.928134862002,5280.40424052766,5280.40424052766,168.446565465069,168.446565465069,168.446565465069,-25.282492707884103,-25.282492707884103,-25.282492707884103,193.72905817295313,193.72905817295313,193.72905817295313,0.0,0.0,0.0,5448.850805992729
3,1,2013-01-05,5278.382388791489,4433.331537852442,6531.860867545826,5278.382388791489,5278.382388791489,253.19224212949993,253.19224212949993,253.19224212949993,151.4824673053875,151.4824673053875,151.4824673053875,101.70977482411243,101.70977482411243,101.70977482411243,0.0,0.0,0.0,5531.574630920989
4,1,2013-01-07,5274.338685319148,4514.679064007532,6698.863743514257,5274.338685319148,5274.338685319148,290.6391968039318,290.6391968039318,290.6391968039318,352.1158978004467,352.1158978004467,352.1158978004467,-61.476700996514985,-61.476700996514985,-61.476700996514985,0.0,0.0,0.0,5564.977882123079
5,1,2013-01-08,5272.316833582979,3935.557368768173,6177.364677195285,5272.316833582979,5272.316833582979,-196.38589948777815,-196.38589948777815,-196.38589948777815,-65.28866622444863,-65.28866622444863,-65.28866622444863,-131.09723326332949,-131.09723326332949,-131.09723326332949,0.0,0.0,0.0,5075.9309340952
6,1,2013-01-09,5270.294981846809,3895.060208564674,5928.12888166824,5270.294981846809,5270.294981846809,-360.35737541264035,-360.35737541264035,-360.35737541264035,-168.3846848010187,-168.3846848010187,-168.3846848010187,-191.97269061162163,-191.97269061162163,-191.97269061162163,0.0,0.0,0.0,4909.937606434169
7,1,2013-01-10,5268.273130110639,3681.7017869035735,5802.9186045106335,5268.273130110639,5268.273130110639,-487.6024618893436,-487.6024618893436,-487.6024618893436,-243.86077535983972,-243.86077535983972,-243.86077535983972,-243.74168652950388,-243.74168652950388,-243.74168652950388,0.0,0.0,0.0,4780.670668221295
8,1,2013-01-11,5266.251278374468,3827.9238656780317,6007.2882988894935,5266.251278374468,5266.251278374468,-311.4971852248344,-311.4971852248344,-311.4971852248344,-25.28249270704749,-25.28249270704749,-25.28249270704749,-286.21469251778694,-286.21469251778694,-286.21469251778694,0.0,0.0,0.0,4954.754093149633
9,1,2013-01-12,5264.229426638298,4022.674104956553,6136.098785151747,5264.229426638298,5264.229426638298,-167.8898099077243,-167.8898099077243,-167.8898099077243,151.48246730555067,151.48246730555067,151.48246730555067,-319.372277213275,-319.372277213275,-319.372277213275,0.0,0.0,0.0,5096.339616730574
10,1,2013-01-14,5260.185723165957,4131.464908950643,6325.67719780085,5260.185723165957,5260.185723165957,-6.3630185125419345,-6.3630185125419345,-6.3630185125419345,352.11589780043033,352.11589780043033,352.11589780043033,-358.4789163129723,-358.4789163129723,-358.4789163129723,0.0,0.0,0.0,5253.822704653415
11,1,2013-01-15,5258.163871429787,3695.711320175449,5906.2474199046455,5258.163871429787,5258.163871429787,-430.4643862518385,-430.4643862518385,-430.4643862518385,-65.28866622458571,-65.28866622458571,-65.28866622458571,-365.17572002725274,-365.17572002725274,-365.17572002725274,0.0,0.0,0.0,4827.699485177948
12,1,2013-01-16,5256.142019693616,3579.9550624676244,5826.280454805444,5256.142019693616,5256.142019693616,-532.4113084461893,-532.4113084461893,-532.4113084461893,-168.3846848005632,-168.3846848005632,-168.3846848005632,-364.0266236456261,-364.0266236456261,-364.0266236456261,0.0,0.0,0.0,4723.730711247426
13,1,2013-01-17,5254.120167957446,3577.1788026703084,5781.887274618624,5254.120167957446,5254.120167957446,-599.5823942327162,-599.5823942327162,-599.5823942327162,-243.8607753594727,-243.8607753594727,-243.8607753594727,-355.7216188732434,-355.7216188732434,-355.7216188732434,0.0,0.0,0.0,4654.53777372473
14,1,2013-01-18,5252.098316221277,3795.8553819574513,5903.118743314386,5252.098316221277,5252.098316221277,-366.32830703316375,-366.32830703316375,-366.32830703316375,-25.282492708396653,-25.282492708396653,-25.282492708396653,-341.0458143247671,-341.0458143247671,-341.0458143247671,0.0,0.0,0.0,4885.770009188113
15,1,2013-01-19,5250.076464485107,4036.3682901826983,6197.494041810872,5250.076464485107,5250.076464485107,-169.3771062893301,-169.3771062893301,-169.3771062893301,151.48246730572126,151.48246730572126,151.48246730572126,-320.85957359505136,-320.85957359505136,-320.85957359505136,0.0,0.0,0.0,5080.699358195777
16,1,2013-01-21,5246.032761012766,4272.3973770235,6425.610342533319,5246.032761012766,5246.032761012766,84.46724694937267,84.46724694937267,84.46724694937267,352.11589780043295,352.11589780043295,352.11589780043295,-267.6486508510603,-267.6486508510603,-267.6486508510603,0.0,0.0,0.0,5330.500007962139
17,1,2013-01-22,5244.010909276596,3802.7775545836175,6011.6501407503565,5244.010909276596,5244.010909276596,-301.8214928482539,-301.8214928482539,-301.8214928482539,-65.28866622515547,-65.28866622515547,-65.28866622515547,-236.53282662309843,-236.53282662309843,-236.53282662309843,0.0,0.0,0.0,4942.189416428342
18,1,2013-01-23,5241.989057540425,3759.0803832622773,5940.092948145193,5241.989057540425,5241.989057540425,-372.0675094046804,-372.0675094046804,-372.0675094046804,-168.3846848005047,-168.3846848005047,-168.3846848005047,-203.68282460417566,-203.68282460417566,-203.68282460417566,0.0,0.0,0.0,4869.921548135745
19,1,2013-01-24,5239.967205804255,3825.8968947669773,5860.885815344568,5239.967205804255,5239.967205804255,-413.8844641098638,-413.8844641098638,-413.8844641098638,-243.86077535995054,-243.86077535995054,-243.86077535995054,-170.02368874991336,-170.02368874991336,-170.02368874991336,0.0,0.0,0.0,4826.082741694391
20,1,2013-01-25,5237.945354068084,3934.2796158156057,6159.220551479781,5237.945354068084,5237.945354068084,-161.71750283805216,-161.71750283805216,-161.71750283805216,-25.282492707560056,-25.282492707560056,-25.282492707560056,-136.4350101304921,-136.4350101304921,-136.4350101304921,0.0,0.0,0.0,5076.227851230032
21,1,2013-01-26,5235.923502331914,4195.330826835631,6413.665643552851,5235.923502331914,5235.923502331914,47.74771505666813,47.74771505666813,47.74771505666813,151.48246730589187,151.48246730589187,151.48246730589187,-103.73475224922376,-103.73475224922376,-103.73475224922376,0.0,0.0,0.0,5283.671217388583
22,1,2013-01-28,5231.879798859573,4489.838292902544,6767.921106409655,5231.879798859573,5231.879798859573,308.23482896966226,308.23482896966226,308.23482896966226,352.1158978004354,352.1158978004354,352.1158978004354,-43.88106883077313,-43.88106883077313,-43.88106883077313,0.0,0.0,0.0,5540.114627829235
23,1,2013-01-29,5229.857947123404,4082.259975416225,6309.999435807466,5229.857947123404,5229.857947123404,-83.22922059630399,-83.22922059630399,-83.22922059630399,-65.28866622421118,-65.28866622421118,-65.28866622421118,-17.9405543720928,-17.9405543720928,-17.9405543720928,0.0,0.0,0.0,5146.6287265271
24,1,2013-01-30,5227.836095387234,4104.550718898306,6203.037647817701,5227.836095387234,5227.836095387234,-163.6831006054806,-163.6831006054806,-163.6831006054806,-168.38468480081005,-168.38468480081005,-168.38468480081005,4.701584195329427,4.701584195329427,4.701584195329427,0.0,0.0,0.0,5064.1529947817535
25,1,2013-01-31,5225.8142436510625,3948.5255782513104,6080.961659156007,5225.8142436510625,5225.8142436510625,-220.16291731568933,-220.16291731568933,-220.16291731568933,-243.86077535958347,-243.86077535958347,-243.86077535958347,23.697858043894108,23.697858043894108,23.697858043894108,0.0,0.0,0.0,5005.651326335374
26,1,2013-02-01,5223.792393084627,4077.1247574925665,6328.923248243751,5223.792393084627,5223.792393084627,13.52694377814481,13.52694377814481,13.52694377814481,-25.282492707653592,-25.282492707653592,-25.282492707653592,38.8094364857984,38.8094364857984,38.8094364857984,0.0,0.0,0.0,5237.319336862772
27,1,2013-02-02,5221.770542518192,4400.521046852921,6491.651833502262,5221.770542518192,5221.770542518192,201.38744625214233,201.38744625214233,201.38744625214233,151.4824673053249,151.4824673053249,151.4824673053249,49.90497894681739,49.90497894681739,49.90497894681739,0.0,0.0,0.0,5423.157988770335
28,1,2013-02-04,5217.72684138532,4621.409817071733,6756.366647912188,5217.72684138532,5217.72684138532,412.1525060019676,412.1525060019676,412.1525060019676,352.11589780043806,352.11589780043806,352.11589780043806,60.03660820152957,60.03660820152957,60.03660820152957,0.0,0.0,0.0,5629.879347387287
29,1,2013-02-05,5215.704990818884,4202.075366295496,6385.826552561137,5215.704990818884,5215.704990818884,-5.983712475455764,-5.983712475455764,-5.983712475455764,-65.28866622478093,-65.28866622478093,-65.28866622478093,59.30495374932516,59.30495374932516,59.30495374932516,0.0,0.0,0.0,5209.721278343428
30,1,2013-02-06,5213.683140252448,4025.3154505939756,6169.293671951641,5213.683140252448,5213.683140252448,-113.37982771257758,-113.37982771257758,-113.37982771257758,-168.3846848011154,-168.3846848011154,-168.3846848011154,55.00485708853783,55.00485708853783,55.00485708853783,0.0,0.0,0.0,5100.30331253987
31,1,2013-02-07,5211.6612896860115,3885.726169519074,6136.457041899124,5211.6612896860115,5211.6612896860115,-196.4110334631667,-196.4110334631667,-196.4110334631667,-243.86077535921646,-243.86077535921646,-243.86077535921646,47.44974189604976,47.44974189604976,47.44974189604976,0.0,0.0,0.0,5015.250256222845
32,1,2013-02-08,5209.639439119576,4105.755496642109,6356.788803678968,5209.639439119576,5209.639439119576,11.729621837341083,11.729621837341083,11.729621837341083,-25.28249270714248,-25.28249270714248,-25.28249270714248,37.012114544483566,37.012114544483566,37.012114544483566,0.0,0.0,0.0,5221.369060956918
33,1,2013-02-09,5207.61758855314,4290.497988070429,6463.201596947207,5207.61758855314,5207.61758855314,175.59375740894873,175.59375740894873,175.59375740894873,151.48246730622566,151.48246730622566,151.48246730622566,24.111290102723057,24.111290102723057,24.111290102723057,0.0,0.0,0.0,5383.211345962089
34,1,2013-02-11,5203.573887420268,4470.170506506173,6684.534694677543,5203.573887420268,5203.573887420268,344.8716539442864,344.8716539442864,344.8716539442864,352.11589780044056,352.11589780044056,352.11589780044056,-7.244243856154185,-7.244243856154185,-7.244243856154185,0.0,0.0,0.0,5548.445541364555
