,store,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,1,2013-01-02,5036.033928,4074.4433117561207,6327.1125112021355,5036.033928,5036.033928,0.024023921472218844,0.024023921472218844,0.024023921472218844,-0.023932099095235693,-0.023932099095235693,-0.023932099095235693,0.04795602056745454,0.04795602056745454,0.04795602056745454,0.0,0.0,0.0,5157.019211617702
1,1,2013-01-03,5035.510887426382,3935.2544914818754,6224.255202400348,5035.510887426382,5035.510887426382,0.0013390788211254537,0.0013390788211254537,0.0013390788211254537,-0.03454833000002738,-0.03454833000002738,-0.03454833000002738,0.03588740882115284,0.03588740882115284,0.03588740882115284,0.0,0.0,0.0,5042.2538334092815
2,1,2013-01-04,5034.987846852766,4055.8166813855114,6332.778816996659,5034.987846852766,5034.987846852766,0.020232225434877005,0.020232225434877005,0.020232225434877005,-0.004137530691346031,-0.004137530691346031,-0.004137530691346031,0.024369756126223035,0.024369756126223035,0.024369756126223035,0.0,0.0,0.0,5136.856856032157
3,1,2013-01-05,5034.464806279149,4081.1409797057477,6320.432514440251,5034.464806279149,5034.464806279149,0.03439564384121168,0.03439564384121168,0.03439564384121168,0.020860566095351876,0.020860566095351876,0.020860566095351876,0.013535077745859802,0.013535077745859802,0.013535077745859802,0.0,0.0,0.0,5207.628464687042
4,1,2013-01-07,5033.418725131915,4031.95906122588,6366.7627825756435,5033.418725131915,5033.418725131915,0.04284301107313615,0.04284301107313615,0.04284301107313615,0.04847695673980214,0.04847695673980214,0.04847695673980214,-0.005633945666665986,-0.005633945666665986,-0.005633945666665986,0.0,0.0,0.0,5249.065539308473
5,1,2013-01-08,5032.895684558298,3899.4761013023076,6143.318010403184,5032.895684558298,5032.895684558298,-0.02351613958785903,-0.02351613958785903,-0.02351613958785903,-0.009730028474011219,-0.009730028474011219,-0.009730028474011219,-0.013786111113847812,-0.013786111113847812,-0.013786111113847812,0.0,0.0,0.0,4914.541407109092
6,1,2013-01-09,5032.3726439846805,3578.743908160231,5945.693637264317,5032.3726439846805,5032.3726439846805,-0.044825590489375115,-0.044825590489375115,-0.044825590489375115,-0.02393209909517666,-0.02393209909517666,-0.02393209909517666,-0.02089349139419846,-0.02089349139419846,-0.02089349139419846,0.0,0.0,0.0,4806.793568655489
7,1,2013-01-10,5031.849603411063,3590.3006606251734,5841.922491053742,5031.849603411063,5031.849603411063,-0.061461857128429664,-0.061461857128429664,-0.061461857128429664,-0.03454832999997864,-0.03454832999997864,-0.03454832999997864,-0.026913527128451024,-0.026913527128451024,-0.026913527128451024,0.0,0.0,0.0,4722.582781994467
8,1,2013-01-11,5031.3265628374465,3655.4816244753074,5985.600604788288,5031.3265628374465,5031.3265628374465,-0.03596142352687197,-0.03596142352687197,-0.03596142352687197,-0.004137530691233441,-0.004137530691233441,-0.004137530691233441,-0.03182389283563852,-0.03182389283563852,-0.03182389283563852,0.0,0.0,0.0,4850.392897409249
9,1,2013-01-12,5030.80352226383,3822.893114586956,6111.392441148031,5030.80352226383,5030.80352226383,-0.014761727470056196,-0.014761727470056196,-0.014761727470056196,0.020860566095370476,0.020860566095370476,0.020860566095370476,-0.03562229356542667,-0.03562229356542667,-0.03562229356542667,0.0,0.0,0.0,4956.5401717127725
